backbone,method,params,fp32_weight_mib,input_ratio,cpu_model_B1_ms_sample,stft_prep_B1_ms_sample,cpu_e2e_B1_ms_sample,gpu_model_B1_ms_sample,gpu_model_B64_ms_sample
Tr-AMR,Optimized,3880991,14.804805755615234,1.0,2.2979247998446226,0.0,2.2979247998446226,2.193893798828125,0.03303274790445963
MCNet,Optimized,314826,1.2009658813476562,1.0,1.444501199759543,0.0,1.444501199759543,1.83837646484375,0.02799340565999349
IQFormer,Optimized,367448,1.401702880859375,17.0,3.3937727995216846,0.08477920014411211,3.4785519996657968,2.52664208984375,0.039921385447184245
E-A,Optimized,42131,0.16071701049804688,1.0,1.2431240007281303,0.0,1.2431240007281303,0.925681640625,0.014928906758626303
