model,case,dimension,level,snrs,obs_level,chan_levels,off_levels,granularity_level,enhanced_acc,original_acc,delta_acc,original_failed_0p5,enhanced_failed_0p5
MCNet,stress_pair_chan5_off5,chan+off,5+5,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",1,5,5,,0.6126952330276378,0.5834402746043172,0.0292549584233206,False,False
MCNet,stress_pair_chan5_gra5,chan+gra,5+5,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",1,5,1,5.0,0.6359301803916659,0.6113180381232589,0.024612142268407022,False,False
MCNet,stress_pair_off5_gra5,off+gra,5+5,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",1,2,5,5.0,0.8458689369515999,0.8176468747065636,0.028222062245036317,False,False
MCNet,stress_all_snr5_obs5_chan5_off5_gra5,snr+obs+chan+off+gra,5+5+5+5+5,"-20,-18,-16,-14",5,5,5,5.0,0.1926624169266241,0.0567611555676115,0.13590126135901262,True,True
Tr-AMR,stress_pair_snr5_obs5,snr+obs,5+5,"-20,-18,-16,-14",5,2,1,,0.3027261630272616,0.2579004475790045,0.044825715448257086,True,True
Tr-AMR,stress_pair_snr5_chan5,snr+chan,5+5,"-20,-18,-16,-14",1,5,1,,0.3819340838193408,0.3632171436321714,0.018716940187169406,True,True
Tr-AMR,stress_pair_snr5_off5,snr+off,5+5,"-20,-18,-16,-14",1,2,5,,0.387901803879018,0.0425200054252,0.345381798453818,True,True
Tr-AMR,stress_pair_snr5_gra5,snr+gra,5+5,"-20,-18,-16,-14",1,2,1,5.0,0.6645191916451919,0.6518377865183779,0.012681405126814038,False,False
Tr-AMR,stress_pair_obs5_chan5,obs+chan,5+5,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",5,5,1,,0.3884848176593256,0.3853822287777834,0.00310258888154219,True,True
Tr-AMR,stress_pair_obs5_off5,obs+off,5+5,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",5,2,5,,0.5169455605852534,0.5097400946035299,0.007205465981723558,False,False
Tr-AMR,stress_pair_obs5_gra5,obs+gra,5+5,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",5,2,1,5.0,0.5739111269348796,0.5684519268263737,0.005459200108505868,False,False
Tr-AMR,stress_pair_chan5_off5,chan+off,5+5,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",1,5,5,,0.5688249156536629,0.5634335316955733,0.0053913839580895795,False,False
Tr-AMR,stress_pair_chan5_gra5,chan+gra,5+5,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",1,5,1,5.0,0.594866317413492,0.5922045335096553,0.0026617839038367563,False,False
Tr-AMR,stress_pair_off5_gra5,off+gra,5+5,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",1,2,5,5.0,0.8146245528372582,0.8091653527287523,0.005459200108505868,False,False
Tr-AMR,stress_all_snr5_obs5_chan5_off5_gra5,snr+obs+chan+off+gra,5+5+5+5+5,"-20,-18,-16,-14",5,5,5,5.0,0.2008002170080021,0.1897463718974637,0.01105384511053839,True,True
