model,dimension,level_num,case,snrs,obs_level,chan_levels,off_levels,granularity_level,enhanced_acc,original_acc,delta_acc,original_failed_0p5,enhanced_failed_0p5
IQFormer,obs,5,bd_obs_l5,"-6,-4,-2",5,3,3,3.0,0.3792214837922148,0.3557574935575749,0.02346399023463991,True,True
IQFormer,off,0,bd_off_l0,"12,14,16,18",0,0,0,0.0,1.0,1.0,0.0,False,False
IQFormer,off,1,bd_off_l1,"12,14,16,18",0,0,1,0.0,0.999593165174939,0.999186330349878,0.00040683482506098656,False,False
IQFormer,off,2,bd_off_l2,"6,8,10",1,1,2,1.0,0.9972877678329264,0.9972877678329264,0.0,False,False
IQFormer,off,3,bd_off_l3,"6,8,10",1,1,3,1.0,0.997558991049634,0.9972877678329264,0.0002712232167075834,False,False
IQFormer,off,4,bd_off_l4,"0,2,4",2,2,4,2.0,0.8688969258589512,0.8215189873417722,0.047377938517178975,False,False
IQFormer,off,5,bd_off_l5,"-6,-4,-2",3,3,5,3.0,0.477417604774176,0.4542248745422487,0.023192730231927305,True,True
IQFormer,snr,0,bd_snr_l0,"12,14,16,18",0,0,0,0.0,1.0,1.0,0.0,False,False
IQFormer,snr,1,bd_snr_l1,"6,8,10",0,0,0,0.0,0.9994577006507592,0.9994577006507592,0.0,False,False
IQFormer,snr,2,bd_snr_l2,"0,2,4",1,1,1,1.0,0.9967453213995118,0.9956604285326824,0.0010848928668293345,False,False
IQFormer,snr,3,bd_snr_l3,"-6,-4,-2",1,1,1,1.0,0.9924057499321942,0.9905071874152428,0.0018985625169514186,False,False
IQFormer,snr,4,bd_snr_l4,"-12,-10,-8",2,2,2,2.0,0.8462929475587704,0.8216998191681736,0.024593128390596797,False,False
IQFormer,snr,5,bd_snr_l5,"-20,-18,-16,-14",3,3,3,3.0,0.5187671650900214,0.482250025429763,0.036517139660258435,True,False
MCNet,chan,0,bd_chan_l0,"12,14,16,18,20,22,24,26,28,30",0,0,0,0.0,0.99609375,0.9996744791666666,-0.0035807291666666297,False,False
MCNet,chan,1,bd_chan_l1,"12,14,16,18,20,22,24,26,28,30",0,1,0,0.0,0.9967447916666666,0.9969075520833334,-0.00016276041666674068,False,False
MCNet,chan,2,bd_chan_l2,"6,8,10",1,2,1,1.0,0.880661784648766,0.8212639001898563,0.0593978844589097,False,False
MCNet,chan,3,bd_chan_l3,"6,8,10",1,3,1,1.0,0.7737998372660699,0.7078925956061839,0.06590724165988604,False,False
MCNet,chan,4,bd_chan_l4,"0,2,4",2,4,2,2.0,0.4750452079566004,0.3531645569620253,0.12188065099457507,True,True
MCNet,chan,5,bd_chan_l5,"-6,-4,-2",3,5,3,3.0,0.2501017225010172,0.1392920113929201,0.11080971110809709,True,True
MCNet,gra,0,bd_gra_l0,"12,14,16,18,20,22,24,26,28,30",0,0,0,0.0,0.9951171875,0.99853515625,-0.00341796875,False,False
MCNet,gra,1,bd_gra_l1,"12,14,16,18,20,22,24,26,28,30",0,0,0,1.0,0.993408203125,0.9918619791666666,0.0015462239583333703,False,False
MCNet,gra,2,bd_gra_l2,"6,8,10",1,1,1,2.0,0.8115732368896926,0.8139240506329114,-0.0023508137432187715,False,False
MCNet,gra,3,bd_gra_l3,"6,8,10",1,1,1,3.0,0.7329445273294453,0.6839820968398209,0.04896243048962434,False,False
MCNet,gra,4,bd_gra_l4,"0,2,4",2,2,2,4.0,0.5536024305555556,0.349609375,0.20399305555555558,True,False
MCNet,gra,5,bd_gra_l5,"-6,-4,-2",3,3,3,5.0,0.4870705244122966,0.2308318264014466,0.25623869801085,True,True
MCNet,obs,0,bd_obs_l0,"12,14,16,18,20,22,24,26,28,30",0,0,0,0.0,0.9954427083333334,0.9990234375,-0.0035807291666666297,False,False
MCNet,obs,1,bd_obs_l1,"12,14,16,18,20,22,24,26,28,30",1,0,0,0.0,0.9930013020833334,0.9988606770833334,-0.005859375,False,False
MCNet,obs,2,bd_obs_l2,"6,8,10",2,1,1,1.0,0.91402224030377,0.7472199620287496,0.16680227827502037,False,False
MCNet,obs,3,bd_obs_l3,"6,8,10",3,1,1,1.0,0.8909682668836453,0.4819636560889612,0.4090046107946841,True,False
MCNet,obs,4,bd_obs_l4,"0,2,4",4,2,2,2.0,0.5934900542495479,0.2318264014466546,0.36166365280289337,True,False
MCNet,obs,5,bd_obs_l5,"-6,-4,-2",5,3,3,3.0,0.2328767123287671,0.1174555811745558,0.1154211311542113,True,True
MCNet,off,0,bd_off_l0,"12,14,16,18,20,22,24,26,28,30",0,0,0,0.0,0.9959309895833334,0.99853515625,-0.0026041666666666297,False,False
MCNet,off,1,bd_off_l1,"12,14,16,18,20,22,24,26,28,30",0,0,1,0.0,0.9908854166666666,0.998046875,-0.00716145833333337,False,False
MCNet,off,2,bd_off_l2,"6,8,10",1,1,2,1.0,0.9221589368049904,0.9012747491185246,0.020884187686465827,False,False
MCNet,off,3,bd_off_l3,"6,8,10",1,1,3,1.0,0.9275834011391376,0.8874423650664497,0.04014103607268793,False,False
MCNet,off,4,bd_off_l4,"0,2,4",2,2,4,2.0,0.6880650994575045,0.4316455696202532,0.2564195298372513,True,False
MCNet,off,5,bd_off_l5,"-6,-4,-2",3,3,5,3.0,0.2791265427912654,0.1284416112844161,0.1506849315068493,True,True
MCNet,snr,0,bd_snr_l0,"12,14,16,18,20,22,24,26,28,30",0,0,0,0.0,0.9943033854166666,0.9996744791666666,-0.00537109375,False,False
MCNet,snr,1,bd_snr_l1,"6,8,10",0,0,0,0.0,0.8709327548806941,0.8877440347071583,-0.016811279826464243,False,False
MCNet,snr,2,bd_snr_l2,"0,2,4",1,1,1,1.0,0.9327366422565772,0.9151071331705994,0.017629509085977713,False,False
MCNet,snr,3,bd_snr_l3,"-6,-4,-2",1,1,1,1.0,0.9077841063195008,0.887713588283157,0.020070518036343743,False,False
MCNet,snr,4,bd_snr_l4,"-12,-10,-8",2,2,2,2.0,0.640506329113924,0.3768535262206148,0.2636528028933092,True,False
MCNet,snr,5,bd_snr_l5,"-20,-18,-16,-14",3,3,3,3.0,0.2572474824534635,0.1146373715796968,0.1426101108737667,True,True
Tr-AMR,chan,0,bd_chan_l0,"12,14,16,18,20,22,24,26,28,30",0,0,0,0.0,0.9939778645833334,0.9938151041666666,0.00016276041666674068,False,False
Tr-AMR,chan,1,bd_chan_l1,"12,14,16,18,20,22,24,26,28,30",0,1,0,0.0,0.9949544270833334,0.9943033854166666,0.0006510416666667407,False,False
Tr-AMR,chan,2,bd_chan_l2,"6,8,10",1,2,1,1.0,0.892324382967182,0.8855438025494983,0.0067805804176837015,False,False
Tr-AMR,chan,3,bd_chan_l3,"6,8,10",1,3,1,1.0,0.8077027393544888,0.807160292921074,0.0005424464334147228,False,False
Tr-AMR,chan,4,bd_chan_l4,"0,2,4",2,4,2,2.0,0.5086799276672694,0.5059674502712478,0.002712477396021651,False,False
Tr-AMR,chan,5,bd_chan_l5,"-6,-4,-2",3,5,3,3.0,0.2355893123558931,0.2350467923504679,0.0005425200054251789,True,True
Tr-AMR,gra,0,bd_gra_l0,"12,14,16,18,20,22,24,26,28,30",0,0,0,0.0,0.9939778645833334,0.9938151041666666,0.00016276041666674068,False,False
Tr-AMR,gra,1,bd_gra_l1,"12,14,16,18,20,22,24,26,28,30",0,0,0,1.0,0.9767252604166666,0.97265625,0.00406901041666663,False,False
