model,original_base_acc,enhanced_base_acc,delta_base_acc,original_boundary_mean_acc,enhanced_boundary_mean_acc,delta_boundary_mean_acc,original_boundary_l5_mean_acc,enhanced_boundary_l5_mean_acc,delta_boundary_l5_mean_acc,original_stress_pair_mean_acc,enhanced_stress_pair_mean_acc,delta_stress_pair_mean_acc,original_stress_all_acc,enhanced_stress_all_acc,delta_stress_all_acc,source_original_acc,source_enhanced_acc,delta_source_acc
Tr-AMR,0.8527372293711748,0.8624349388806944,0.009697709509519647,0.7467058509375946,0.7535743968992696,0.006868545961675077,0.27665929148486174,0.28058570054330423,0.003926409058442493,0.47438530512964217,0.5194738533454684,0.045088548215826196,0.1897463718974637,0.2008002170080021,0.01105384511053839,0.8789207175925926,0.9011791087962963,0.022258391203703654
MCNet,0.8776278861101547,0.8872369505566162,0.00960906444646148,0.6730135251493875,0.7657741858305743,0.09276066068118682,0.1461316803666071,0.301284596897362,0.1551529165307549,0.48862234139206084,0.5750562820921542,0.08643394070009336,0.0567611555676115,0.1926624169266241,0.13590126135901262,0.5821361502347417,0.5936952269170579,0.01155907668231615
IQFormer,0.939208984375,0.9625922309027778,0.02338324652777779,0.8435776942593443,0.8570068865588154,0.013429192299471149,0.42296079944364645,0.4467023186568964,0.023741519213249962,0.6781910822817887,0.7002325792932195,0.022041497011430766,0.2866540078665401,0.3040824630408246,0.017428455174284485,0.6366363636363637,0.6348409090909091,-0.0017954545454546
E-A,0.885901488831158,0.9163354095589846,0.03043392072782658,0.7600431077782823,0.7928687454877129,0.03282563770943059,0.2785357382251432,0.3141900057450281,0.035654267519884875,0.525245280879499,0.5709831866585157,0.04573790577901671,0.179031601790316,0.1949681269496812,0.015936525159365195,0.6096363636363636,0.6145454545454545,0.004909090909090863
