model,dimension,level_num,original_acc,enhanced_acc,delta_acc
MCNet,off,2,0.9012747491185246,0.9221589368049904,0.0208841876864658
MCNet,off,3,0.8874423650664497,0.9275834011391376,0.0401410360726879
MCNet,off,4,0.4316455696202532,0.6880650994575045,0.2564195298372513
MCNet,off,5,0.1284416112844161,0.2791265427912654,0.1506849315068493
MCNet,snr,1,0.8877440347071583,0.8709327548806941,-0.0168112798264642
MCNet,snr,2,0.9151071331705994,0.9327366422565772,0.0176295090859777
MCNet,snr,3,0.887713588283157,0.9077841063195008,0.0200705180363437
MCNet,snr,4,0.3768535262206148,0.640506329113924,0.2636528028933092
MCNet,snr,5,0.1146373715796968,0.2572474824534635,0.1426101108737667
Tr-AMR,chan,1,0.9943033854166666,0.9949544270833334,0.0006510416666667
Tr-AMR,chan,2,0.8855438025494983,0.892324382967182,0.0067805804176837
Tr-AMR,chan,3,0.807160292921074,0.8077027393544888,0.0005424464334147
Tr-AMR,chan,4,0.5059674502712478,0.5086799276672694,0.0027124773960216
Tr-AMR,chan,5,0.2350467923504679,0.2355893123558931,0.0005425200054251
Tr-AMR,gra,1,0.97265625,0.9767252604166666,0.0040690104166666
Tr-AMR,gra,2,0.8444846292947559,0.8538878842676311,0.0094032549728751
Tr-AMR,gra,3,0.7551878475518785,0.7580360775803607,0.0028482300284822
Tr-AMR,gra,4,0.5569661458333334,0.5604383680555556,0.0034722222222222
Tr-AMR,gra,5,0.4253164556962025,0.4288426763110307,0.0035262206148281
Tr-AMR,obs,1,0.9925130208333334,0.9934895833333334,0.0009765625
Tr-AMR,obs,2,0.8144833197721725,0.8386221860591266,0.0241388662869541
Tr-AMR,obs,3,0.7287767832926498,0.7664768104149715,0.0377000271223216
Tr-AMR,obs,4,0.4851717902350814,0.4904159132007233,0.0052441229656419
Tr-AMR,obs,5,0.2247389122473891,0.2308422623084226,0.0061033500610335
Tr-AMR,off,1,0.98779296875,0.9884440104166666,0.0006510416666666
Tr-AMR,off,2,0.9218877135882833,0.9245999457553566,0.0027122321670733
Tr-AMR,off,3,0.8570653647952264,0.8586927040954706,0.0016273393002441
Tr-AMR,off,4,0.5972875226039783,0.61374321880651,0.0164556962025316
Tr-AMR,off,5,0.2444052624440526,0.246846602468466,0.0024413400244133
Tr-AMR,snr,1,0.905639913232104,0.9484815618221258,0.0428416485900218
Tr-AMR,snr,2,0.8947653919175481,0.8982912937347437,0.0035259018171955
Tr-AMR,snr,3,0.881475454298888,0.8898833740168158,0.0084079197179278
Tr-AMR,snr,4,0.6596745027124774,0.6705244122965642,0.0108499095840868
Tr-AMR,snr,5,0.2537890346861967,0.2608076492727088,0.007018614586512
