profile,case,stage,dimension,level,snrs,obs_level,chan_levels,off_levels,granularity_level,granularity_num_classes,granularity_mods,aux_level_cap,aux_policy,target_length_for_model_pack
mcnet,bd_gra_l5,boundary,gra,5,"-6,-4,-2",3,3,3,5,24,"OOK,4ASK,8ASK,BPSK,QPSK,8PSK,16PSK,32PSK,16APSK,32APSK,64APSK,128APSK,16QAM,32QAM,64QAM,128QAM,256QAM,AM-SSB-WC,AM-SSB-SC,AM-DSB-WC,AM-DSB-SC,FM,GMSK,OQPSK",3,fixed_cap,1024
mcnet,stress_pair_snr5_obs5,stress,snr+obs,5+5,"-20,-18,-16,-14",5,2,1,,,,,stress_all_pairs_high,1024
mcnet,stress_pair_snr5_chan5,stress,snr+chan,5+5,"-20,-18,-16,-14",1,5,1,,,,,stress_all_pairs_high,1024
mcnet,stress_pair_snr5_off5,stress,snr+off,5+5,"-20,-18,-16,-14",1,2,5,,,,,stress_all_pairs_high,1024
mcnet,stress_pair_snr5_gra5,stress,snr+gra,5+5,"-20,-18,-16,-14",1,2,1,5,24,"OOK,4ASK,8ASK,BPSK,QPSK,8PSK,16PSK,32PSK,16APSK,32APSK,64APSK,128APSK,16QAM,32QAM,64QAM,128QAM,256QAM,AM-SSB-WC,AM-SSB-SC,AM-DSB-WC,AM-DSB-SC,FM,GMSK,OQPSK",,stress_all_pairs_high,1024
mcnet,stress_pair_obs5_chan5,stress,obs+chan,5+5,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",5,5,1,,,,,stress_all_pairs_high,1024
mcnet,stress_pair_obs5_off5,stress,obs+off,5+5,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",5,2,5,,,,,stress_all_pairs_high,1024
mcnet,stress_pair_obs5_gra5,stress,obs+gra,5+5,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",5,2,1,5,24,"OOK,4ASK,8ASK,BPSK,QPSK,8PSK,16PSK,32PSK,16APSK,32APSK,64APSK,128APSK,16QAM,32QAM,64QAM,128QAM,256QAM,AM-SSB-WC,AM-SSB-SC,AM-DSB-WC,AM-DSB-SC,FM,GMSK,OQPSK",,stress_all_pairs_high,1024
mcnet,stress_pair_chan5_off5,stress,chan+off,5+5,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",1,5,5,,,,,stress_all_pairs_high,1024
mcnet,stress_pair_chan5_gra5,stress,chan+gra,5+5,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",1,5,1,5,24,"OOK,4ASK,8ASK,BPSK,QPSK,8PSK,16PSK,32PSK,16APSK,32APSK,64APSK,128APSK,16QAM,32QAM,64QAM,128QAM,256QAM,AM-SSB-WC,AM-SSB-SC,AM-DSB-WC,AM-DSB-SC,FM,GMSK,OQPSK",,stress_all_pairs_high,1024
mcnet,stress_pair_off5_gra5,stress,off+gra,5+5,"-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30",1,2,5,5,24,"OOK,4ASK,8ASK,BPSK,QPSK,8PSK,16PSK,32PSK,16APSK,32APSK,64APSK,128APSK,16QAM,32QAM,64QAM,128QAM,256QAM,AM-SSB-WC,AM-SSB-SC,AM-DSB-WC,AM-DSB-SC,FM,GMSK,OQPSK",,stress_all_pairs_high,1024
mcnet,stress_all_snr5_obs5_chan5_off5_gra5,stress,snr+obs+chan+off+gra,5+5+5+5+5,"-20,-18,-16,-14",5,5,5,5,24,"OOK,4ASK,8ASK,BPSK,QPSK,8PSK,16PSK,32PSK,16APSK,32APSK,64APSK,128APSK,16QAM,32QAM,64QAM,128QAM,256QAM,AM-SSB-WC,AM-SSB-SC,AM-DSB-WC,AM-DSB-SC,FM,GMSK,OQPSK",,stress_all_pairs_high,1024
